GPS Cluster,Lion ID,Lion sex,State (kill (1) or non-kill (0)),Prey species,Average wind speed precedding GPS cluster,Moon present (1) or absent (0),Viewshed 50m,Viewshed 50 to 100m,Viewshed 100 to 300m,Viewshed 300m,Distance to downwind cover,Minimum distance to cover
JOS68,Josie,Female,0,,1.054545455,0,69,0,0,69,3.81,2.55
JOS7,Josie,Female,0,,3.253333333,1,223,0,0,223,4.53,4.53
JOS70,Josie,Female,1,Eland,1.163636364,0,7578,10756,88635,106969,48.09,38.68
JOS72,Josie,Female,0,,1.563636364,1,6130,4885,1614,12629,32.07,18.67
JOS73,Josie,Female,0,,1.963636364,1,1298,1028,6796,9122,6.36,4.3
JOS79,Josie,Female,1,Small Ant,2.218181818,0,102,0,0,102,5.52,5.52
JOS8,Josie,Female,0,,1.936363636,0,231,493,687,1411,2.55,2.55
JOS80,Josie,Female,0,,2.147368421,0,252,10,0,262,6.04,5.52
JOS82,Josie,Female,1,Kudu,1.781818182,1,46,0,0,46,4.74,2.92
JOS83,Josie,Female,1,Buffalo,4.255555556,1,32,0,0,32,4.53,4.53
JOS87,Josie,Female,1,Buffalo,1.372727273,1,7853,17820,30918,56591,71.47,51.93
JOS88,Josie,Female,0,,2.963636364,1,7860,17370,43979,69209,122.48,58.33
JOS92,Josie,Female,0,,2.409090909,0,3744,9993,77014,90751,12.35,9.62
JOS95,Josie,Female,0,,2.618181818,1,6911,15288,25343,47542,28.71,21.27
JOS96,Josie,Female,0,,0.663636364,1,4430,5480,5788,15698,14.92,14.92
JOS97,Josie,Female,0,,1.572727273,0,4703,2957,37270,44930,13.44,6.96
JOS98,Josie,Female,1,Kudu,2.090909091,0,195,0,0,195,3.54,2.92
JOS99,Josie,Female,1,Hartebeest,1.254545455,0,7850,23416,163815,195081,40.48,40.48
ROY1,Roy,Male,1,Kudu,2.533333333,1,25,0,0,25,3.54,2.92
ROY105,Roy,Male,0,,0.86,1,5476,6247,40748,52471,14.51,14.51
ROY106,Roy,Male,1,Kudu,1.26,1,381,17,5479,5877,4.95,4.95
ROY107,Roy,Male,0,,1.02,0,447,280,3649,4376,11.34,4.53
ROY108,Roy,Male,1,Kudu,1.32,0,5,0,0,5,3.54,3.54
ROY109,Roy,Male,0,,2.24,1,3324,1304,7266,11894,5.15,5.15
ROY11,Roy,Male,0,,2.3,0,19,134,660,813,4.95,3.54
ROY110,Roy,Male,0,,3.2,1,2346,781,966,4093,9.92,9.92
ROY112,Roy,Male,1,Warthog,0.7,1,367,3,750,1120,1.58,1.58
ROY113,Roy,Male,0,,1.1,1,7229,18074,82104,107407,19.81,13.51
ROY114,Roy,Male,1,Kudu,0.48,0,1451,230,187,1868,4.74,4.74
ROY115,Roy,Male,0,,2.36,1,7390,13212,85366,105968,28.71,18.67
ROY116,Roy,Male,0,,0.36,1,3960,3384,16445,23789,3.54,3.54
ROY117,Roy,Male,0,,1.52,1,7233,13061,178396,198690,48.97,30.7
ROY119,Roy,Male,0,,1.82,1,5340,4088,68771,78199,17.22,17.22
ROY12,Roy,Male,0,,3.866666667,0,221,0,0,221,3.81,3.81
ROY121,Roy,Male,0,,1.6,0,307,0,0,307,12.35,2.55
ROY123,Roy,Male,0,,2.54,0,6746,14703,99731,121180,31.5,15.51
ROY127,Roy,Male,0,,3.08,1,3952,3505,8909,16366,14.71,18.34
