GPS Cluster,Lion ID,Lion sex,State (kill (1) or non-kill (0)),Prey species,Average wind speed precedding GPS cluster,Moon present (1) or absent (0),Viewshed 50m,Viewshed 50 to 100m,Viewshed 100 to 300m,Viewshed 300m,Distance to downwind cover,Minimum distance to cover
ROY193,Roy,Male,0,,4.58,1,6808,19469,116003,142280,11.51,4.53
ROY194,Roy,Male,1,Zebra,1.2,1,3376,3508,21846,28730,9.62,6.96
ROY195,Roy,Male,0,,2.18,1,2693,2842,8472,14007,7.11,2.55
ROY197,Roy,Male,0,,1.8,0,7269,20777,117606,145652,22.46,22.46
ROY20,Roy,Male,0,,1.88,1,1225,349,147,1721,7.78,5.7
ROY200,Roy,Male,0,,0.46,0,7544,17922,103592,129058,29.54,29.54
ROY201,Roy,Male,1,Kudu,0.52,0,1738,115,27,1880,15.12,15.12
ROY205,Roy,Male,1,Kudu,1.96,0,1633,1883,2110,5626,3.54,7.78
ROY209,Roy,Male,0,,3.788888889,1,7840,20755,50637,79232,56.5,56.5
ROY210,Roy,Male,1,Kudu,2.144444444,1,0,0,0,0,4.53,1.58
ROY212,Roy,Male,1,Ostrich,2.08,0,7831,21839,145025,174695,51.62,36.17
ROY220,Roy,Male,0,,2.54,0,7711,14216,77489,99416,87.91,45.39
ROY225,Roy,Male,1,Eland,1.18,0,2487,1285,2937,6709,4.53,4.53
ROY24,Roy,Male,0,,2.68,1,5727,4140,1237,11104,16.87,16.87
ROY25,Roy,Male,0,,0.28,1,3432,1410,5944,10786,13.51,13.51
ROY26,Roy,Male,1,Ostrich,0.52,0,6778,17985,95133,119896,16.51,16.51
ROY31,Roy,Male,0,,1.88,0,792,184,1175,2151,6.36,5.7
ROY33,Roy,Male,0,,0.72,0,4123,2074,30887,37084,14.16,14.16
ROY34,Roy,Male,0,,4.32,1,246,0,0,246,4.3,3.54
ROY35,Roy,Male,0,,1.7,1,2635,1621,20609,24865,17.9,4.95
ROY38,Roy,Male,0,,3.48,0,1687,128,0,1815,23.03,9.51
ROY44,Roy,Male,0,,1.88,0,2355,4943,30965,38263,3.54,3.81
ROY46,Roy,Male,0,,2.42,0,406,29,0,435,9.3,6.96
ROY47,Roy,Male,0,,0.22,0,851,262,695,1808,4.3,4.3
ROY48,Roy,Male,0,,0.92,1,1562,308,38,1908,7.91,5.7
ROY53,Roy,Male,0,,4.42,0,2821,4336,8062,15219,19.3,9.19
ROY57,Roy,Male,0,,6.78,1,1882,809,0,2691,6.96,4.53
ROY61,Roy,Male,0,,1.34,1,1793,603,179,2575,8.51,9.51
ROY65,Roy,Male,0,,0.94,0,4249,8882,63798,76929,15.51,2.55
ROY67,Roy,Male,0,,0.22,1,1282,876,607,2765,4.53,14.92
ROY68,Roy,Male,0,,1.34,1,1357,1,0,1358,27.72,14.51
ROY69,Roy,Male,0,,0.84,1,2185,1154,36397,39736,6.36,7.11
ROY7,Roy,Male,0,,1.9,1,176,2,577,755,2.92,2.12
ROY72,Roy,Male,0,,0.766666667,1,7835,16757,50813,75405,38.35,49.5
ROY74,Roy,Male,0,,1.58,1,1932,1422,2106,5460,10.7,4.3
ROY77,Roy,Male,1,Kudu,1.86,0,725,1652,8387,10764,8.51,2.55
ROY8,Roy,Male,0,,3.333333333,1,1174,271,73,1518,6.52,4.3
ROY80,Roy,Male,0,,1.06,0,6852,9208,14652,30712,25.7,25.7
ROY81,Roy,Male,1,Hartebeest,3.677777778,1,536,2,0,538,7.11,5.15
ROY82,Roy,Male,0,,2.3,0,2475,812,1294,4581,22.33,22.33
ROY91,Roy,Male,0,,0.3,0,6867,12373,43205,62445,18.18,18.18
ROY92,Roy,Male,1,Kudu,2.68,1,17,12,237,266,5.7,2.12
ROY93,Roy,Male,0,,4,1,7291,11480,42290,61061,49.52,10.79
ROY97,Roy,Male,0,,3.34,1,7423,11552,42470,61445,46.74,14.58
